Preprocess,CNN,DenseNet161,EfficientNetB1,ResNet50,VGG16
baseline,62.1794871794872,65.7051282051282,64.7435897435898,64.7435897435898,56.25
histogram_equalization,64.5833333333333,68.5897435897436,62.3397435897436,62.5,67.3076923076923
gaussian_blur,66.1858974358974,70.0320512820513,67.1474358974359,61.698717948718,74.0384615384615
bilateral_filer,61.5384615384615,72.5961538461538,72.275641025641,68.9102564102564,66.025641025641
adaptive_masking,68.4294871794872,68.5897435897436,70.6730769230769,65.5448717948718,62.1794871794872
adaptive_masking_equalized,67.6282051282051,71.474358974359,68.9102564102564,70.3525641025641,60.7371794871795
adaptive_masking_gaussian,61.2179487179487,72.1153846153846,72.7564102564103,68.2692307692308,62.5
adaptive_masking_bilateral,63.6217948717949,73.7179487179487,67.3076923076923,69.7115384615385,62.8205128205128
